Drug name,Drug ID,Drug target,Target Pathway,Feature Name,n_feature_pos,n_feature_neg,ic50_effect_size,log_ic50_mean_pos,log_ic50_mean_neg,log_max_conc_tested,log_max_conc_tested_2,feature_ic50_t_pval,feature_delta_mean_ic50,feature_pos_ic50_var,feature_neg_ic50_var,feature_pval,tissue_pval,msi_pval,fdr,Tissue Type,Screening Set
Camptothecin,1003,TOP1,DNA replication,BRAF_mut,7,9,0.195421229,-2.636755935,-2.364783006,,,0.696745845,-0.271972929,1.233768069,1.499314027,0.704013035,,,0,THCA,GDSC2
Camptothecin,1003,TOP1,DNA replication,NRAS_mut,3,13,0.103043402,-2.600806317,-2.45676305,,,0.789125695,-0.144043267,0.556090648,1.49272816,0.874489079,,,0,THCA,GDSC2
Camptothecin,1003,TOP1,DNA replication,TP53_mut,11,5,0.493862169,-2.693520217,-2.022323242,,,0.516005133,-0.671196975,0.957135608,2.043171452,0.37535573,,,0,THCA,GDSC2
Vinblastine,1004,Microtubule destabiliser,Mitosis,BRAF_mut,7,7,1.208546513,-3.902312619,-1.478744047,,,0.048015837,-2.423568573,1.439966306,2.443239546,0.043134292,,,0,THCA,GDSC2
Vinblastine,1004,Microtubule destabiliser,Mitosis,TP53_mut,10,4,0.083903549,-2.747887246,-2.547131049,,,0.899865595,-0.200756197,2.296656295,2.660113282,0.889573112,,,0,THCA,GDSC2
Cisplatin,1005,DNA crosslinker,DNA replication,BRAF_mut,7,7,0.668669481,3.681864097,4.830345328,,,0.2348914,-1.148481231,1.659169414,1.774033452,0.234787377,,,46.95747543,THCA,GDSC2
Cisplatin,1005,DNA crosslinker,DNA replication,TP53_mut,10,4,0.052498462,4.228722633,4.324559911,,,0.95197986,-0.095837278,1.319603198,2.847123889,0.93075344,,,93.075344,THCA,GDSC2
Cytarabine,1006,Antimetabolite,Other,BRAF_mut,7,7,0.271265093,2.390724855,2.951332721,,,0.621081634,-0.560607866,2.157536144,1.971562093,0.621008414,,,0,THCA,GDSC2
Cytarabine,1006,Antimetabolite,Other,TP53_mut,10,4,0.080393321,2.623089182,2.790877803,,,0.923174138,-0.167788621,1.623108521,3.085521636,0.894161617,,,0,THCA,GDSC2
Docetaxel,1007,Microtubule stabiliser,Mitosis,BRAF_mut,7,9,0.811911967,-4.873978631,-3.364902446,,,0.103476958,-1.509076185,0.91489774,2.32763067,0.129469133,,,38.84074002,THCA,GDSC2
Docetaxel,1007,Microtubule stabiliser,Mitosis,NRAS_mut,3,13,0.002357518,-4.021247016,-4.026017798,,,0.996932133,0.004770783,1.737224798,2.067528716,0.997115187,,,99.71151867,THCA,GDSC2
Docetaxel,1007,Microtubule stabiliser,Mitosis,TP53_mut,11,5,0.447910397,-4.301648203,-3.416768439,,,0.587026158,-0.884879764,1.047801753,3.303844949,0.420222365,,,63.03335478,THCA,GDSC2
Methotrexate,1008,Antimetabolite,DNA replication,BRAF_mut,7,9,1.073177339,-0.960198755,1.492401766,,,0.047628947,-2.452600521,2.080419571,2.427744503,0.051439667,,,0,THCA,GDSC2
Methotrexate,1008,Antimetabolite,DNA replication,NRAS_mut,3,13,0.13026653,0.697297341,0.355256353,,,0.781531548,0.342040988,1.541873104,2.765344332,0.841765565,,,0,THCA,GDSC2
Methotrexate,1008,Antimetabolite,DNA replication,TP53_mut,11,5,0.613366741,-0.062858767,1.48033421,,,0.392110563,-1.543192977,2.029385768,3.443660229,0.274539517,,,0,THCA,GDSC2
Gefitinib,1010,EGFR,EGFR signaling,BRAF_mut,7,9,0.293420932,3.941971005,4.253518704,,,0.531577878,-0.311547698,0.454310574,1.348369721,0.569664153,,,0,THCA,GDSC2
Gefitinib,1010,EGFR,EGFR signaling,NRAS_mut,3,13,0.200865244,4.291974566,4.076887821,,,0.743006494,0.215086745,0.908357777,1.095535837,0.758448009,,,0,THCA,GDSC2
Gefitinib,1010,EGFR,EGFR signaling,TP53_mut,11,5,0.681637113,3.900359623,4.594301905,,,0.346646559,-0.693942282,0.818233177,1.397763717,0.226944452,,,0,THCA,GDSC2
Navitoclax,1011,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,BRAF_mut,7,9,0.661819461,2.35582049,2.85758345,,,0.180073162,-0.50176296,0.466350547,0.918036519,0.210213784,,,0,THCA,GDSC2
Navitoclax,1011,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,NRAS_mut,3,13,0.680031604,3.065155308,2.539502197,,,0.37386431,0.525653111,0.788683728,0.770335517,0.306344743,,,0,THCA,GDSC2
Navitoclax,1011,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,TP53_mut,11,5,0.501246995,2.515913608,2.90678896,,,0.310952135,-0.390875352,0.842353789,0.595349019,0.368462104,,,0,THCA,GDSC2
Vorinostat,1012,"HDAC inhibitor Class I, IIa, IIb, IV",Chromatin histone acetylation,BRAF_mut,7,9,0.589381787,1.543879128,2.042798318,,,0.230795249,-0.49891919,0.547169736,1.01463079,0.261721466,,,0,THCA,GDSC2
Vorinostat,1012,"HDAC inhibitor Class I, IIa, IIb, IV",Chromatin histone acetylation,NRAS_mut,3,13,0.196031062,1.965312271,1.792030919,,,0.79527521,0.173281352,0.965985056,0.869523513,0.764067908,,,0,THCA,GDSC2
Vorinostat,1012,"HDAC inhibitor Class I, IIa, IIb, IV",Chromatin histone acetylation,TP53_mut,11,5,0.098719433,1.797193123,1.884642881,,,0.898948604,-0.087449758,0.552110767,1.408700307,0.857398074,,,0,THCA,GDSC2
Nilotinib,1013,ABL,ABL signaling,BRAF_mut,7,9,0.419529116,3.53566452,4.130419053,,,0.379441037,-0.594754534,0.72814222,1.76620901,0.419114433,,,93.84744276,THCA,GDSC2
Nilotinib,1013,ABL,ABL signaling,NRAS_mut,3,13,0.050335068,3.929597393,3.856510072,,,0.949575771,0.073087321,1.696074553,1.407230314,0.938474428,,,93.84744276,THCA,GDSC2
Nilotinib,1013,ABL,ABL signaling,TP53_mut,11,5,0.247744682,3.758611569,4.115739171,,,0.700399153,-0.357127602,1.282062626,1.778669395,0.653047697,,,93.84744276,THCA,GDSC2
Refametinib,1014,"MEK1, MEK2",ERK MAPK signaling,BRAF_mut,7,9,0.765106837,0.633876549,1.878608386,,,0.153431692,-1.244731837,1.635934989,1.620043659,0.151216129,,,0,THCA,GDSC2
Refametinib,1014,"MEK1, MEK2",ERK MAPK signaling,NRAS_mut,3,13,0.819428173,0.227986252,1.589280966,,,0.333217274,-1.361294714,1.857841413,1.626204387,0.221577474,,,0,THCA,GDSC2
Refametinib,1014,"MEK1, MEK2",ERK MAPK signaling,TP53_mut,11,5,0.732136398,1.711647543,0.503297667,,,0.32358739,1.208349876,1.289207326,2.319210238,0.196128575,,,0,THCA,GDSC2
Temsirolimus,1016,MTOR,PI3K/MTOR signaling,BRAF_mut,7,9,0.30950558,1.433096708,1.863410161,,,0.604642038,-0.430313453,2.050094813,0.480199379,0.548963027,,,0,THCA,GDSC2
Temsirolimus,1016,MTOR,PI3K/MTOR signaling,NRAS_mut,3,13,0.235347803,1.943273992,1.613272802,,,0.548600908,0.33000119,0.571953541,1.496425246,0.718788352,,,0,THCA,GDSC2
Temsirolimus,1016,MTOR,PI3K/MTOR signaling,TP53_mut,11,5,1.120077826,2.106345925,0.726512645,,,0.189644344,1.37983328,0.79140934,1.935399751,0.056724564,,,0,THCA,GDSC2
Olaparib,1017,"PARP1, PARP2",Genome integrity,BRAF_mut,7,9,0.797089201,4.169322858,4.903814268,,,0.110827435,-0.73449141,0.529614467,1.129406461,0.136046279,,,40.81388382,THCA,GDSC2
Olaparib,1017,"PARP1, PARP2",Genome integrity,NRAS_mut,3,13,0.037032667,4.552376349,4.589419951,,,0.943672828,-0.037043602,0.69686929,1.042313744,0.954711337,,,95.47113371,THCA,GDSC2
Olaparib,1017,"PARP1, PARP2",Genome integrity,TP53_mut,11,5,0.240665274,4.507764552,4.746835669,,,0.753865484,-0.239071117,0.652361256,1.545913267,0.662272527,,,95.47113371,THCA,GDSC2
Veliparib,1018,"PARP1, PARP2",Genome integrity,BRAF_mut,7,9,0.179671449,5.766707492,5.960000798,,,0.705028531,-0.193293306,0.628784372,1.314870866,0.726763832,,,0,THCA,GDSC2
Veliparib,1018,"PARP1, PARP2",Genome integrity,NRAS_mut,3,13,0.251499385,5.655809663,5.926117741,,,0.767555655,-0.270308078,1.338376205,1.024280834,0.700488943,,,0,THCA,GDSC2
Veliparib,1018,"PARP1, PARP2",Genome integrity,TP53_mut,11,5,0.110493634,5.838175419,5.957406003,,,0.88466653,-0.119230584,0.714691547,1.672850008,0.840629516,,,0,THCA,GDSC2
Bosutinib,1019,"SRC, ABL, TEC","Other, kinases",BRAF_mut,7,9,1.02439752,2.852003598,3.970566116,,,0.049321046,-1.118562518,0.777217319,1.278070832,0.061497657,,,0,THCA,GDSC2
Bosutinib,1019,"SRC, ABL, TEC","Other, kinases",NRAS_mut,3,13,0.295128708,3.7769396,3.412946263,,,0.592369263,0.363993337,0.89804349,1.280713965,0.652040155,,,0,THCA,GDSC2
Bosutinib,1019,"SRC, ABL, TEC","Other, kinases",TP53_mut,11,5,0.282625179,3.372504026,3.720315188,,,0.713657456,-0.347811162,0.805257168,1.9182294,0.608474162,,,0,THCA,GDSC2
Lenalidomide,1020,CRBN,Protein stability and degradation,BRAF_mut,7,9,0.659397404,5.508156939,6.038518758,,,0.179669605,-0.53036182,0.45856935,0.98711408,0.211794656,,,0,THCA,GDSC2
